N,Min,Max,Random Number,Steps
100,50,600,596,25
100,50,600,347,125
100,50,600,533,30
100,50,600,144,23
100,50,600,519,61
100,50,600,600,17
100,50,600,355,32
100,50,600,527,79
100,50,600,300,16
100,50,600,190,106
100,50,600,133,28
100,50,600,366,94
100,50,600,553,136
100,50,600,143,103
100,50,600,512,9
100,50,600,593,74
100,50,600,541,43
100,50,600,487,141
100,50,600,171,124
100,50,600,87,30
100,50,600,98,25
100,50,600,66,27
100,50,600,160,10
100,50,600,300,16
100,50,600,143,103
100,50,600,459,128
100,50,600,317,37
100,50,600,429,102
100,50,600,289,29
100,50,600,430,102
100,50,600,351,81
100,50,600,111,69
100,50,600,458,35
100,50,600,100,25
100,50,600,542,43
100,50,600,54,112
100,50,600,279,42
100,50,600,78,35
100,50,600,591,56
100,50,600,549,92
100,50,600,134,28
100,50,600,377,63
100,50,600,497,22
100,50,600,103,87
100,50,600,316,37
100,50,600,295,55
100,50,600,131,28
100,50,600,272,16
100,50,600,348,32
100,50,600,208,13
100,50,600,312,37
100,50,600,594,74
100,50,600,379,58
100,50,600,482,22
100,50,600,259,122
100,50,600,477,35
100,50,600,214,101
100,50,600,393,58
100,50,600,461,35
100,50,600,385,32
100,50,600,72,22
100,50,600,158,36
100,50,600,299,117
100,50,600,342,125
100,50,600,317,37
100,50,600,383,45
100,50,600,350,81
100,50,600,338,50
100,50,600,294,117
100,50,600,554,17
100,50,600,381,107
100,50,600,283,60
100,50,600,355,32
100,50,600,416,14
100,50,600,173,31
100,50,600,493,48
100,50,600,50,24
100,50,600,227,13
100,50,600,156,36
100,50,600,144,23
100,50,600,264,29
100,50,600,70,14
100,50,600,376,107
100,50,600,171,124
100,50,600,479,53
100,50,600,170,10
100,50,600,356,32
100,50,600,408,27
100,50,600,54,112
100,50,600,485,97
100,50,600,457,128
100,50,600,523,123
100,50,600,191,44
100,50,600,202,26
100,50,600,74,22
100,50,600,570,105
100,50,600,88,17
100,50,600,569,56
100,50,600,363,45
100,50,600,151,15
